fold,lead,model,best_params,best_val_score,best_iteration,n_features_total,n_features_retained,K_eff,boundary_gap,search_duration_s,fit_duration_s,n_trials,train_rmse
3,1,elasticnet,"{""alpha"": 0.01, ""l1_ratio"": 0.3}",-0.231653139763664,,61,38,4,7,32.6447651386261,33.81773900985718,35,0.5909305781880748
3,1,rf,"{""n_estimators"": 500, ""max_depth"": 20, ""min_samples_leaf"": 1, ""max_features"": 0.5}",-0.2758274629305511,,61,61,4,7,694.7642240524292,722.3216090202332,40,0.05989769847702556
3,1,xgboost,"{""max_depth"": 4, ""learning_rate"": 0.1, ""subsample"": 0.7, ""colsample_bytree"": 0.7, ""reg_lambda"": 1.0, ""min_child_weight"": 1}",-0.2684007697460279,60.0,61,61,4,7,45.95645785331726,46.695703744888306,40,0.43058444056574846
4,1,climatology,{},,,0,0,4,7,0.0,0.013948917388916,0,0.9787749821745937
4,1,persistence,"{""spei3_column"": ""spei3""}",,,0,0,4,7,0.0,2.7179718017578125e-05,0,0.7284127721419223
4,1,ar,"{""p"": 3, ""alpha"": 1.0}",,,3,3,4,7,0.0,0.0575852394104003,0,0.6490928325309376
4,1,ols,{},,,60,60,4,7,0.0,0.44952392578125,0,0.5857774697083369
4,1,ridge,"{""alpha"": 0.001}",-0.3226952544892159,,60,60,4,7,5.2652459144592285,5.6516008377075195,13,0.5857774697083721
4,1,lasso,"{""alpha"": 0.00316}",-0.3175503926330119,,60,32,4,7,8.950934886932373,10.20536971092224,13,0.5905158697727966
4,1,elasticnet,"{""alpha"": 0.01, ""l1_ratio"": 0.3}",-0.3193642068357392,,60,31,4,7,37.21918487548828,38.42607617378235,35,0.5910116082312848
4,1,rf,"{""n_estimators"": 500, ""max_depth"": 20, ""min_samples_leaf"": 20, ""max_features"": 0.5}",-0.388621577442297,,60,60,4,7,764.1323888301849,787.2533857822418,40,0.20860385958798255
4,1,xgboost,"{""max_depth"": 8, ""learning_rate"": 0.1, ""subsample"": 1.0, ""colsample_bytree"": 0.7, ""reg_lambda"": 1.0, ""min_child_weight"": 5}",-0.3676178965597108,275.0,60,60,4,7,84.13706517219543,86.18774771690369,40,0.0780197588839873
5,1,climatology,{},,,0,0,9,12,0.0,0.0137250423431396,0,0.9838717587956852
